id,question,answer,work,skill,variables,circuit_type,difficulty,source_style,source_ref,tags
em_prob_001,A circuit has a 240 V source and a 0.2 ohm resistance. What current flows?,1200 A,I = V / R = 240 / 0.2 = 1200 A,ohms_law_current,V=240 V; R=0.2 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_002,A 9 V battery is connected through a 100 ohm resistor. Find the current.,0.09 A,I = V / R = 9 / 100 = 0.09 A,ohms_law_current,V=9 V; R=100 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_003,A 12 V battery is connected to a 25 ohm resistance. What is the current?,0.48 A,I = 12 / 25 = 0.48 A,ohms_law_current,V=12 V; R=25 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_004,A 120 V potential difference is across a 50 ohm resistance. Calculate current.,2.4 A,I = 120 / 50 = 2.4 A,ohms_law_current,V=120 V; R=50 ohm,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current
em_prob_005,A 9 V battery is connected through a 2 x 10^-4 ohm resistance. What current is produced?,"45,000 A","I = 9 / (2 x 10^-4) = 45,000 A",ohms_law_current_scientific_notation,V=9 V; R=2e-4 ohm,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; current; scientific_notation
em_prob_006,What current flows through a toy car circuit with a 3 V battery and 20 ohms of resistance?,0.15 A,I = 3 / 20 = 0.15 A,ohms_law_current,V=3 V; R=20 ohm,,1,pdf_practice_paraphrase,PDF p.1,ohms_law; current
em_prob_007,A circuit has 120 V and a total resistance of 340 ohms. Find the current.,0.35 A,I = 120 / 340 = 0.3529 A ≈ 0.35 A,ohms_law_current,V=120 V; R=340 ohm,,1,pdf_practice_paraphrase,PDF p.22,ohms_law; current; total_resistance
em_prob_008,"A circuit has a 25 V source and resistors of 30 ohms, 25 ohms, and 50 ohms in series. What current flows?",0.24 A,Rt = 30 + 25 + 50 = 105 ohms; I = 25 / 105 ≈ 0.24 A,series_resistance_then_current,V=25 V; R1=30; R2=25; R3=50,series,2,pdf_practice_paraphrase,PDF p.22,series; current; ohms_law
em_prob_009,Three 20 ohm resistors are connected in series across 120 V. Find total resistance and current.,Rt = 60 ohms; I = 2 A,Rt = 20 + 20 + 20 = 60 ohms; I = 120 / 60 = 2 A,series_resistance_then_current,"V=120 V; R=20,20,20",series,2,pdf_practice_paraphrase,PDF p.18,series; current; ohms_law
em_prob_010,Three 20 ohm resistors are connected in parallel across 120 V. Find total resistance and total current.,Rt ≈ 6.67 ohms; I ≈ 18 A,Rt = 20 / 3 ≈ 6.67 ohms; I = 120 / 6.67 ≈ 18 A,parallel_resistance_then_current,"V=120 V; R=20,20,20",parallel,2,pdf_practice_paraphrase,PDF p.18,parallel; current; ohms_law
em_prob_011,Ten identical lights are in parallel on a 120 V outlet. Each bulb has 0.5 A flowing through it. What is the resistance of one bulb?,240 ohms,"For one bulb branch, R = V / I = 120 / 0.5 = 240 ohms",parallel_branch_ohms_law,V=120 V each branch; I=0.5 A,parallel,2,pdf_practice_paraphrase,PDF p.18,parallel; resistance; ohms_law
em_prob_012,"What resistance is needed to produce 200 A from a 2,000 V potential difference?",10 ohms,R = V / I = 2000 / 200 = 10 ohms,ohms_law_resistance,V=2000 V; I=200 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_013,A 12 V battery produces 25 A of current. What is the resistance?,0.48 ohms,R = 12 / 25 = 0.48 ohms,ohms_law_resistance,V=12 V; I=25 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_014,A 9 V battery produces 2.0 A. Find the resistance.,4.5 ohms,R = 9 / 2.0 = 4.5 ohms,ohms_law_resistance,V=9 V; I=2.0 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
em_prob_015,"A 2,000 V line carries 1,000,000 A. What is the resistance?",0.002 ohms,"R = 2000 / 1,000,000 = 0.002 ohms",ohms_law_resistance_large_numbers,V=2000 V; I=1000000 A,,2,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance; large_numbers
em_prob_016,A light bulb uses 0.8 A when connected to 120 V. What is its resistance?,150 ohms,R = 120 / 0.8 = 150 ohms,ohms_law_resistance,V=120 V; I=0.8 A,,1,worksheet_photo_paraphrase,teacher worksheet photos,ohms_law; resistance
