id,term,aliases,category,grade_band,answer_short,answer_extra,related_terms,unit,symbol,source_ref,tags,router_priority,ai_allowed
em_vocab_001,electricity,electric power; electrical energy movement,charge_current,6-9,"Electricity is the movement or buildup of electric charge, usually involving electrons.","In circuits, electricity usually means charges moving through a complete path. Static electricity means charge is built up in one place.",electric current; static electricity; electric charge,,,"PDF p.1, p.6; worksheet photos",definition; charge; current,high,false
em_vocab_002,matter,stuff; substance,charge,6-9,Matter is anything that has mass and takes up space.,Atoms are the tiny particles that make up matter. Understanding atoms helps explain electric charge.,atom; proton; electron; neutron,,,PDF p.3,definition; atom,medium,false
em_vocab_003,atom,atoms,charge,6-9,"An atom is a tiny particle of matter made of protons, neutrons, and electrons.",Protons and neutrons are in the nucleus. Electrons move around the nucleus.,proton; neutron; electron; electric charge,,,"PDF p.1, p.3, p.6",definition; subatomic_particles,high,false
em_vocab_004,proton,protons,charge,6-9,A proton is a positively charged particle found in the nucleus of an atom.,The number of protons helps identify the element.,atom; neutron; electron; positive charge,,,PDF p.6; worksheet photos,definition; charge,high,false
em_vocab_005,neutron,neutrons,charge,6-9,A neutron is a neutral particle found in the nucleus of an atom.,Neutral means it has no electric charge.,atom; proton; electron; neutral,,,"PDF p.6, p.11",definition; charge,high,false
em_vocab_006,electron,electrons; e-,charge_current,6-9,An electron is a negatively charged particle found outside the nucleus of an atom.,Electric charge is often transferred when electrons move from one object or material to another.,atom; current; static electricity; negative charge,,,"PDF p.6, p.11; worksheet photos",definition; charge; current,high,false
em_vocab_007,electric charge,charge; electrical charge; charged object,charge,6-9,Electric charge is a property of matter that can be positive or negative.,"Objects can become charged when they gain or lose electrons. Like charges repel, and opposite charges attract.",positive charge; negative charge; static electricity; electric field,,,"PDF p.1, p.6, p.11; worksheet photos",definition; rules_of_charge,high,false
em_vocab_008,positive charge,positive; + charge,charge,6-9,"A positive charge means there are more protons than electrons, or fewer electrons than needed for neutrality.","Protons are positive. In many static electricity problems, an object becomes positive by losing electrons.",proton; electron; negative charge,,,"PDF p.6, p.11",definition; charge,medium,false
em_vocab_009,negative charge,negative; - charge,charge,6-9,A negative charge means there are more electrons than protons.,Electrons are negative. An object often becomes negative by gaining electrons.,electron; positive charge; static electricity,,,PDF p.6,definition; charge,medium,false
em_vocab_010,neutral,electrically neutral; no net charge,charge,6-9,Neutral means an object has no overall electric charge.,"In a neutral atom, the number of protons equals the number of electrons.",atom; proton; electron; electric charge,,,PDF p.6,definition; charge,medium,false
