unit,concept,skill,question,expected_answer,worked_steps,answer_type,tags,source_pages
Motion and Force,Concept 1: Describing Motion,distance_vs_displacement,"A student walks 40 m east, then 15 m west. Find the distance and displacement.",distance = 55 m; displacement = 25 m east,Distance adds the path: 40 + 15 = 55 m. Displacement compares start to finish: 40 east - 15 west = 25 m east.,numeric_with_direction,"distance,displacement,opposite directions","2,6"
Motion and Force,Concept 1: Describing Motion,distance_vs_displacement,A runner completes one full lap around a 400 m track and ends where she started. Find distance and displacement.,distance = 400 m; displacement = 0 m,"Distance is the full path traveled. Since start and finish are the same point, displacement is 0 m.",numeric,"round trip,displacement zero",6
Motion and Force,Concept 1: Describing Motion,distance_vs_displacement,A robot drives 6 m north and then 8 m east. Find distance and straight-line displacement.,distance = 14 m; displacement = 10 m northeast,Distance = 6 + 8 = 14 m. Displacement = sqrt(6^2 + 8^2) = 10 m toward northeast.,numeric_with_direction,"pythagorean,perpendicular paths","2,6,18"
Motion and Force,Concept 1: Describing Motion,speed,A cart travels 36 m in 6 s. What is its speed?,6 m/s,s = d/t = 36 m / 6 s = 6 m/s.,numeric,"speed,distance,time","3-4,7"
Motion and Force,Concept 1: Describing Motion,velocity,A bike travels 18 km north in 0.5 hr. What is its velocity?,36 km/hr north,"v = d/t = 18 km / 0.5 hr = 36 km/hr, then include north.",numeric_with_direction,"velocity,direction","3,7"
Motion and Force,Concept 1: Describing Motion,distance_from_speed,A car moves at 55 mi/hr for 2 hours. How far does it travel?,110 mi,d = s*t = 55 mi/hr * 2 hr = 110 mi.,numeric,"distance,speed,time","7,18"
Motion and Force,Concept 1: Describing Motion,time_from_speed,Sound travels about 343 m/s. About how long does it take sound to travel 686 m?,2 s,t = d/s = 686 m / 343 m/s = 2 s.,numeric,"time,distance,speed,sound","3,7"
Motion and Force,Concept 1: Describing Motion,average_speed_graph,"On a distance-time graph, an object moves from 0 m at 0 s to 20 m at 5 s in a straight line. What is its speed?",4 m/s,Speed is slope on a distance-time graph: rise/run = 20 m / 5 s = 4 m/s.,numeric,"graph,slope,distance-time","8-10,18-19"
Motion and Force,Concept 1: Describing Motion,graph_interpretation,A distance-time graph has a horizontal line. What does that show?,The object is stopped/not moving; speed is 0.,"Distance does not change while time passes, so the object is not moving.",conceptual,"graph,horizontal line,stopped","5,8-10"
Motion and Force,Concept 1: Describing Motion,graph_interpretation,A distance-time graph curves upward and gets steeper over time. What does that show?,The object is speeding up.,"On a distance-time graph, slope means speed. If the slope gets steeper, speed increases.",conceptual,"graph,speeding up,distance-time","5,8-10,18-19"
