unit,concept,formula_name,equation,solve_for,variables,units,rearrangements,trigger_phrases,student_steps,source_pages
Motion and Force,Concept 1: Describing Motion,speed,s = d / t,speed,"s speed, d distance, t time","m/s, km/hr, mi/hr, etc.",d = s*t; t = d/s,speed; how fast; distance in time; how long; how far,Identify distance and time; divide distance by time; include units.,"3-4,7,18"
Motion and Force,Concept 1: Describing Motion,distance from speed and time,d = s*t,distance,"d distance, s speed, t time","m, km, mi",s = d/t; t = d/s,how far; travels at speed for time; cover ground,Multiply speed by time; keep time units consistent with speed units.,"7,18"
Motion and Force,Concept 1: Describing Motion,time from distance and speed,t = d / s,time,"t time, d distance, s speed","seconds, hours, minutes",s = d/t; d = s*t,how long; time it takes; travel distance at speed,Divide distance by speed; include time units.,"3,7"
Motion and Force,Concept 1: Describing Motion,velocity,v = d / t plus direction,velocity,"v velocity, d displacement/distance in a direction, t time","m/s north, km/hr east, etc.",d = v*t; t = d/v,velocity; speed with direction; north/south/east/west,"Find speed, then attach the correct direction.","3,7,18"
Motion and Force,Concept 1: Describing Motion,straight-line displacement by Pythagorean theorem,c = sqrt(a^2 + b^2),displacement magnitude,"a one direction leg, b perpendicular leg, c straight-line displacement",same as distance unit,a = sqrt(c^2-b^2); b = sqrt(c^2-a^2),east then north; west then south; straight-line displacement; resultant,Add path for distance; use Pythagorean theorem for displacement; include compass direction.,"2,6,18"
Motion and Force,Concept 2: Acceleration,acceleration,a = (v_f - v_i) / t,acceleration,"a acceleration, vf final velocity, vi initial velocity, t time","m/s^2, km/hr^2, mi/hr^2",vf = vi + a*t; vi = vf - a*t; t = (vf-vi)/a,accelerates from; speeds up from; slows down from; comes to a stop; acceleration,Subtract initial velocity from final velocity; divide by time; negative means slowing or opposite direction.,"11-14,18-19"
Motion and Force,Concept 2: Acceleration,final velocity,v_f = v_i + a*t,final velocity,"vf final velocity, vi initial velocity, a acceleration, t time","m/s, km/hr, mi/hr",a = (vf-vi)/t; t = (vf-vi)/a; vi = vf-a*t,final speed; reaches what speed; starting from rest; accelerates for,Multiply acceleration by time; add initial velocity.,"11,13,18-19"
Motion and Force,Concept 3: Newton's Laws and Force,Newton's 2nd Law force,F = m*a,force,"F net force, m mass, a acceleration",N = kg*m/s^2,m = F/a; a = F/m,force; net force; mass and acceleration; Newton's second law,Multiply mass by acceleration; answer in newtons.,"22,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,Newton's 2nd Law mass,m = F / a,mass,"m mass, F force, a acceleration",kg,F = m*a; a = F/m,what mass; force and acceleration; object experiencing net force,Divide force by acceleration; answer in kilograms.,"27,37"
Motion and Force,Concept 3: Newton's Laws and Force,Newton's 2nd Law acceleration,a = F / m,acceleration,"a acceleration, F net force, m mass",m/s^2,F = m*a; m = F/a,what acceleration; horizontal force applied; mass and force,Divide net force by mass; answer in m/s^2.,"22,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,weight near Earth,W = m*g,weight,"W weight, m mass, g gravitational field strength near Earth",N,m = W/g; g = W/m,weigh; weight; falling object; force of gravity; mass from weight,Use g = 9.8 m/s^2 near Earth unless the problem gives another value; multiply mass by 9.8.,"23,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,momentum,p = m*v,momentum,"p momentum, m mass, v velocity",kg*m/s,m = p/v; v = p/m,momentum; mass and velocity; moving object; collision,Multiply mass by velocity; include kg*m/s.,"23,32,37"
Motion and Force,Concept 3: Newton's Laws and Force,momentum mass,m = p / v,mass,"m mass, p momentum, v velocity",kg,p = m*v; v = p/m,mass from momentum; has momentum when thrown with velocity,Divide momentum by velocity.,"32,37"
Motion and Force,Concept 3: Newton's Laws and Force,momentum velocity,v = p / m,velocity,"v velocity, p momentum, m mass",m/s,p = m*v; m = p/v,speed from momentum; how fast; momentum and mass,Divide momentum by mass.,"32,37"
Motion and Force,Concept 3: Newton's Laws and Force,simple momentum transfer,m1*v1 = m2*v2,post-collision velocity in simple transfer problems,"m1 first mass, v1 first velocity, m2 second mass, v2 second velocity",kg and m/s,v2 = (m1*v1)/m2,transfers all momentum; collision; stationary object; conservation of momentum,Find initial momentum; set it equal to final momentum of second object; solve for final velocity.,31-32
Motion and Force,Concept 3: Newton's Laws and Force,net force from opposite directions,F_net = F_right - F_left,net force with direction,forces in opposite directions,N,Use signed values or subtract smaller from larger and keep direction of larger force.,net force; forces acting left and right; balanced; unbalanced; diagram,Add forces in the same direction; subtract opposite directions; direction points toward the greater force.,"24,27,37"
Motion and Force,Concept 3: Newton's Laws and Force,average velocity in runner lab,v_avg = distance / average_time,average velocity at a marker,"distance marker, average time from trials",yd/s or m/s,average time = distance / v_avg,runner lab; average times; distance marker; velocity calculation,Average trial times first; divide distance by average time for each marker.,15-17
Motion and Force,Concept 3: Newton's Laws and Force,balloon rocket force,F = m*a,force of balloon rocket,"F force, m rocket mass, a acceleration",N,a = F/m; m = F/a,balloon rocket; mass affects acceleration and force; lab calculations,"Calculate speed and acceleration from data, then multiply mass by acceleration.",34-36
