id,name,solve_for,formula,variables,units,required_values,example_question,example_answer,parser_hints,source_ref,tags,ai_allowed
em_formula_001,Ohm’s Law - current,current,I = V / R,I=current; V=voltage difference; R=resistance,I amps; V volts; R ohms,voltage; resistance,A 9 V battery is connected to a 3 ohm bulb. What is the current?,I = 9 / 3 = 3 A,current produced; find current; how much current; volts through ohms; battery through resistance,"PDF p.1, p.8, p.10; worksheet photos",ohms_law; current,false
em_formula_002,Ohm’s Law - voltage,voltage,V = I * R,V=voltage difference; I=current; R=resistance,V volts; I amps; R ohms,current; resistance,What voltage produces 50 amps through 20 ohms?,V = 50 * 20 = 1000 V,what voltage; voltage produces; potential difference; voltage necessary; voltage across,"PDF p.1, p.8, p.10; worksheet photos",ohms_law; voltage,false
em_formula_003,Ohm’s Law - resistance,resistance,R = V / I,R=resistance; V=voltage difference; I=current,R ohms; V volts; I amps,voltage; current,What resistance produces 120 amps from a 6 V battery?,R = 6 / 120 = 0.05 ohms,what resistance; find resistance; produces current; from battery; potential difference with current,"PDF p.1, p.8, p.10; worksheet photos",ohms_law; resistance,false
em_formula_004,Series resistance,total_resistance,Rt = R1 + R2 + R3 + ...,Rt=total resistance; R1/R2/R3=resistors,ohms,all series resistor values,Three 20 ohm resistors are connected in series. Find total resistance.,Rt = 20 + 20 + 20 = 60 ohms,series total resistance; resistors connected in series; find total resistance series,"PDF p.1, p.15, p.18, p.22",series; resistance,false
em_formula_005,Parallel resistance,total_resistance,1/Rt = 1/R1 + 1/R2 + 1/R3 + ...,Rt=total resistance; R1/R2/R3=parallel resistors,ohms,all parallel resistor values,"Find total resistance for 100 ohm, 50 ohm, and 25 ohm resistors in parallel.","1/Rt = 1/100 + 1/50 + 1/25 = 0.07, so Rt ≈ 14.29 ohms",parallel total resistance; resistors connected in parallel; find total resistance parallel,"PDF p.1, p.15, p.18, p.23",parallel; resistance,false
em_formula_006,Identical parallel resistors,total_resistance,Rt = R / n,R=resistance of each identical branch; n=number of parallel branches,ohms,branch resistance; number of identical branches,"Five parallel resistors each have 40,000 ohms. Find total resistance.",Rt = 40000 / 5 = 8000 ohms,each with a resistance; identical resistors in parallel; equal resistances parallel,"PDF p.18, p.23",parallel; resistance; shortcut,false
em_formula_007,Total voltage for batteries in series,total_voltage,Vt = V1 + V2 + V3 + ...,Vt=total voltage; V1/V2/V3=individual battery voltages,volts,battery voltages; connected positive-to-negative,What is the total voltage of four 1.5 V batteries in series?,Vt = 1.5 + 1.5 + 1.5 + 1.5 = 6 V,two batteries; four batteries; D-cell battery has 1.5 volts; total voltage batteries,PDF p.22; worksheet photos,battery; voltage; series,false
em_formula_008,Current from total circuit values,current,I = Vt / Rt,I=current; Vt=total voltage; Rt=total resistance,amps; volts; ohms,total voltage; total resistance,A circuit has 120 V and total resistance 340 ohms. What is current?,I = 120 / 340 ≈ 0.35 A,given circuit total resistance and voltage; current passing through circuit; total current,"PDF p.18, p.22-p.23",ohms_law; circuits; current,false
em_formula_009,Voltage from total resistance and current,voltage,V = I * Rt,V=voltage; I=current; Rt=total resistance,volts; amps; ohms,current; total resistance,A series circuit has 2 A and total resistance 3 ohms. Find voltage.,V = 2 * 3 = 6 V,battery voltage in series circuit; voltage difference with current and total resistance,"PDF p.1, p.10",ohms_law; series; voltage,false
em_formula_010,Power relationship,power,P = V * I,P=power; V=voltage; I=current,watts; volts; amps,voltage; current,How much power is used by a 120 V device drawing 2 A?,P = 120 * 2 = 240 W,power; watts; voltage times current,worksheet photos; physics extension,power; electricity,false
em_formula_011,Resistance from power and current,resistance_extension,R = P / I^2,R=resistance; P=power; I=current,ohms; watts; amps,power; current,Find resistance if power is 40 W and current is 2 A.,R = 40 / 2^2 = 10 ohms,power and current resistance; extension only,physics extension,power; extension,false
em_formula_012,Voltage from power and current,voltage_extension,V = P / I,V=voltage; P=power; I=current,volts; watts; amps,power; current,Find voltage if power is 60 W and current is 5 A.,V = 60 / 5 = 12 V,power and current voltage; extension only,physics extension,power; extension,false
